CAS,Deprecated CAS
13463-41-7,"1021487-49-9, 109702-19-4, 118480-78-7, 1192-70-7, 1199553-62-2, 1320-68-9, 1323439-04-8, 14376-32-0, 15686-64-3, 162400-43-3, 16782-00-6, 17652-47-0, 186322-74-7, 192458-89-2, 208398-70-3, 2173031-33-7, 2218447-38-0, 226883-65-4, 244778-79-8, 266692-38-0, 31089-48-2, 3138-01-0, 318995-78-7, 35430-20-7, 3590-23-6, 3865-77-8, 39412-61-8, 51148-10-8, 51406-57-6, 55172-61-7, 74261-71-5, 943428-71-5, 1021487-49-9, 109702-19-4, 118480-78-7, 1192-70-7, 1199553-62-2, 1320-68-9, 1323439-04-8, 14376-32-0, 15686-64-3, 162400-43-3, 16782-00-6, 17652-47-0, 186322-74-7, 192458-89-2, 208398-70-3, 226883-65-4, 244778-79-8, 266692-38-0, 31089-48-2, 3138-01-0, 318995-78-7, 35430-20-7, 3865-77-8, 39412-61-8, 51148-10-8, 51406-57-6, 55172-61-7, 74261-71-5, 943428-71-5"
9004-70-0,"124362-83-0, 1339-76-0, 152264-12-5, 188626-79-1, 2001537-63-7, 2166122-28-5, 2245235-30-5, 2245235-31-6, 2414146-27-1, 246848-29-3, 2704570-50-1, 353274-56-3, 37228-31-2, 37317-48-9, 60649-57-2, 72026-64-3, 72026-68-7, 8050-69-9, 8050-70-2, 88386-25-8, 909342-54-7, 124362-83-0, 1339-76-0, 152264-12-5, 188626-79-1, 2001537-63-7, 246848-29-3, 353274-56-3, 37317-48-9, 60649-57-2, 72026-64-3, 72026-68-7, 8050-69-9, 8050-70-2, 88386-25-8, 909342-54-7"
"117-39-5, 6151-25-3","73123-10-1, 74893-81-5"
N/A,
N/A,
"90-82-4, 53214-57-6, 90-81-3, 299-42-3",
196597-26-9,
"66357-35-5, 82530-72-1",
"95635-55-5, 142387-99-3",142387-99-3
N/A,
8063-17-0,
"50-69-1, 10257-32-6, 10018-08-3","58-91-3, 6915-40-8, 93781-19-2, 6915-40-8, 93781-19-2, 10257-32-6; 613-83-2"
141-22-0,"17026-54-9, 2226968-94-9, 2408423-15-2, 25607-48-1, 45260-83-1, 8040-35-5, 17026-54-9, 45260-83-1, 8040-35-5"
91374-21-9,
"84057-95-4, 98626-61-0",
